happiness_classification,norm_imports,norm_exports,fear,anger,surprise,sadness,disgust,joy,anticipation,year,country
happy,0.20328324653062224,0.032601997623626915,0.058935361216730035,0.039923954372623575,0.04182509505703422,0.039923954372623575,0.022813688212927757,0.0741444866920152,0.10266159695817491,2009,Cyprus
happy,6.479369742896134,8.23272468030518,0.0549645390070922,0.047872340425531915,0.03723404255319149,0.028368794326241134,0.02304964539007092,0.0975177304964539,0.11170212765957446,2009,Malaysia
not-happy,3.2240382893476927,3.4431598907055467,0.0712401055408971,0.026385224274406333,0.036939313984168866,0.0316622691292876,0.021108179419525065,0.06596306068601583,0.10554089709762533,2009,Hungary
happy,2.0357508611294195,0.6910578167103424,0.07152875175315568,0.02664796633941094,0.033660589060308554,0.0364656381486676,0.015427769985974754,0.07573632538569425,0.09817671809256662,2009,Greece
happy,0.22526492881879057,0.18997326581488352,0.07774390243902439,0.038109756097560975,0.013719512195121951,0.04725609756097561,0.024390243902439025,0.05945121951219512,0.09146341463414634,2009,Luxembourg
happy,0.3711248617164491,0.03905490622174694,0.07913669064748201,0.047961630695443645,0.026378896882494004,0.02158273381294964,0.016786570743405275,0.10071942446043165,0.10551558752997602,2009,Panama
not-happy,3.8097146890666833,0.24448355360684434,0.0744047619047619,0.05357142857142857,0.03571428571428571,0.047619047619047616,0.03869047619047619,0.06547619047619048,0.06845238095238096,2009,Afghanistan
not-happy,0.5016705733660493,0.08532518012869242,0.08289473684210526,0.034210526315789476,0.018421052631578946,0.025,0.025,0.08947368421052632,0.0881578947368421,2009,Burundi
not-happy,1.6366961564950004,0.5444285791537876,0.058823529411764705,0.0196078431372549,0.023529411764705882,0.021568627450980392,0.01568627450980392,0.08431372549019608,0.10392156862745099,2009,Niger
happy,1.1812871333512478,2.1845191729439195,0.07004830917874397,0.03864734299516908,0.036231884057971016,0.025362318840579712,0.014492753623188406,0.08454106280193237,0.10628019323671498,2009,Ireland
not-happy,1.537898389323632,0.08017748883005472,0.058823529411764705,0.025210084033613446,0.01680672268907563,0.03361344537815126,0.03081232492997199,0.11204481792717087,0.09803921568627451,2009,Mali
not-happy,0.9666617940494535,0.6892016373765392,0.09523809523809523,0.05714285714285714,0.009523809523809525,0.02857142857142857,0.02857142857142857,0.1,0.0761904761904762,2009,Malawi
happy,0.20471758568795947,0.5071216650967055,0.07418397626112759,0.06676557863501484,0.03115727002967359,0.05192878338278932,0.026706231454005934,0.07863501483679525,0.09792284866468842,2009,Bahrain
happy,2.728364029071554,2.13804715073482,0.058823529411764705,0.038539553752535496,0.034482758620689655,0.032454361054766734,0.02434077079107505,0.08924949290060852,0.0973630831643002,2009,United Arab Emirates
happy,1.656973584670661,1.876553859698498,0.08057851239669421,0.045454545454545456,0.02066115702479339,0.01652892561983471,0.012396694214876033,0.07024793388429752,0.10743801652892562,2009,Denmark
happy,20.553119931281515,24.877868189275077,0.0743801652892562,0.04297520661157025,0.03636363636363636,0.026446280991735537,0.01818181818181818,0.06115702479338843,0.1140495867768595,2009,Germany
not-happy,6.717825872825291,4.419634417656796,0.09175377468060394,0.047619047619047616,0.030197444831591175,0.05574912891986063,0.029036004645760744,0.08710801393728224,0.08130081300813008,2009,Bangladesh
not-happy,0.060612262220287726,0.009347104793481097,0.05060240963855422,0.033734939759036145,0.04578313253012048,0.02650602409638554,0.03132530120481928,0.10361445783132531,0.10361445783132531,2009,Comoros
not-happy,0.7799764703842622,0.1260746925898565,0.11481481481481481,0.08148148148148149,0.024074074074074074,0.05925925925925926,0.022222222222222223,0.044444444444444446,0.07407407407407407,2009,Djibouti
not-happy,2.0056639353814756,0.8994989074967389,0.059149722735674676,0.04251386321626617,0.04436229205175601,0.038817005545286505,0.02033271719038817,0.08133086876155268,0.09611829944547134,2009,Zimbabwe
